DEPTH,BS,BVW,CARB_FLAG,COAL_FLAG,DELTA,GRMAX,GRMIN,J,KLHC_INT,KLOGH,M,N,PERF_FLAG,PHIF,PORD,RHOFL,RHOMA,RW,SAND_FLAG,SW,SWIRR,TEMP,VSH
3666.5916,8.5,0.111705,0,0,0.1475,115,14,0.000163,0.0003,0.0003,1.79,2.45,0,0.199843,0.199843,0.8,2.66,0.0216428,0,0.559,1.8023,112.7249,0.5988
3666.744,8.5,0.112236,0,0,0.3583,115,14,3.00E-06,0,0,1.79,2.45,0,0.218743,0.218743,0.8,2.66,0.0216422,0,0.5131,7.9467,112.7285,0.599555
3666.8964,8.5,0.114825,0,0,0.1298,115,14,4.00E-06,0,0,1.79,2.45,0,0.24238,0.24238,0.8,2.66,0.0216416,0,0.4737,6.5907,112.7321,0.60031
3667.0488,8.5,0.114419,0,0,0.2489,115,14,2.00E-06,0,0,1.79,2.45,0,0.226408,0.226408,0.8,2.66,0.021641,0,0.5054,8.6274,112.7358,0.601065
3667.2012,8.5,0.115867,0,0,0.2072,115,14,4.00E-06,0,0,1.79,2.45,0,0.216169,0.216169,0.8,2.66,0.0216404,0,0.536,6.8473,112.7394,0.60182
3667.3536,8.5,0.112858,0,0,0.2302,115,14,2.00E-06,0,0,1.79,2.45,0,0.178107,0.178107,0.8,2.66,0.0216399,0,0.6336,9.247,112.743,0.602575
3667.506,8.5,0.118716,0,0,0.3334,115,14,1.00E-06,0,0,1.79,2.45,0,0.197236,0.197236,0.8,2.66,0.0216393,0,0.6019,14.41,112.7467,0.60333
3667.6584,8.5,0.124121,0,0,61.7094,115,14,1.00E-06,0,0,1.79,2.45,0,0.218197,0.218197,0.8,2.66,0.0216387,0,0.5688,12.2367,112.7503,0.604086
3667.8108,8.5,0.128317,0,0,0.2835,115,14,2.00E-06,0,0,1.79,2.45,0,0.243449,0.243449,0.8,2.66,0.0216381,0,0.5271,8.8671,112.7539,0.604841
3667.9632,8.5,0.128881,0,0,0.1418,115,14,2.00E-06,0,0,1.79,2.45,0,0.259614,0.259614,0.8,2.66,0.0216375,0,0.4964,9.0527,112.7575,0.605596
3668.1156,8.5,0.12731,0,0,0.1798,115,14,0,0,0,1.79,2.45,0,0.269317,0.269317,0.8,2.66,0.0216369,0,0.4727,13.973,112.7612,0.606351
3668.268,8.5,0.118762,0,0,0.2404,115,14,0,0,0,1.79,2.45,0,0.222229,0.222229,0.8,2.66,0.0216363,0,0.5344,14.2552,112.7648,0.607106
3668.4204,8.5,0.117522,0,0,0.2935,115,14,1.00E-06,0,0,1.79,2.45,0,0.219901,0.219901,0.8,2.66,0.0216358,0,0.5344,13.0497,112.7684,0.607861
3668.5728,8.5,0.118934,0,0,0.1915,115,14,1.00E-06,0,0,1.79,2.45,0,0.233816,0.233816,0.8,2.66,0.0216352,0,0.5087,12.7382,112.7721,0.608616
3668.7252,8.5,0.118332,0,0,0.2922,115,14,1.00E-06,0,0,1.79,2.45,0,0.236549,0.236549,0.8,2.66,0.0216346,0,0.5002,10.9999,112.7757,0.609371
3668.8776,8.5,0.115974,0,0,0.2541,115,14,1.00E-06,0,0,1.79,2.45,0,0.225313,0.225313,0.8,2.66,0.021634,0,0.5147,11.6733,112.7793,0.610126
3669.03,8.5,0.115555,0,0,0.1823,115,14,1.00E-06,0,0,1.79,2.45,0,0.218307,0.218307,0.8,2.66,0.0216334,0,0.5293,13.4864,112.783,0.610881
3669.1824,8.5,0.118799,0,0,0.1856,115,14,2.00E-06,0,0,1.79,2.45,0,0.225777,0.225777,0.8,2.66,0.0216328,0,0.5262,9.2959,112.7866,0.611636
